Date,raw_score,prob_up,threshold,threshold_exit,threshold_score_gate,threshold_low,threshold_high,side,score_coverage,selected_factor_count,Forward_Return,Target_Up,Set,forward_return,turnover,gross_return,cost_drag,net_return,equity_gross,equity_net,drawdown_net
2009-09-30,0.8614991242083155,0.6647157507257146,0.52,0.48,0.06212695344304956,,,1.0,1.0,4,-0.019799999999999998,0,train,-0.019799999999999998,0.0,-0.019799999999999998,0.0,-0.019799999999999998,0.7466438574961449,0.7417316844986052,-0.3792330225890209
2009-10-30,0.44318839132976995,0.6543511887849254,0.55,0.48,0.04069165581002568,,,1.0,1.0,4,0.0574,1,train,0.0574,0.0,0.0574,0.0,0.0574,0.7895012149164236,0.784307083188825,-0.3436009980856307
2009-11-30,0.7840447378761608,0.7508013260639931,0.52,0.48,0.06224494289147856,,,1.0,1.0,4,0.0178,1,train,0.0178,0.0,0.0178,0.0,0.0178,0.803554336541936,0.7982677492695861,-0.33191709585155493
2009-12-31,0.19857150063323342,0.6275449683200677,0.52,0.48,0.07551418198970378,,,1.0,1.0,4,-0.037000000000000005,0,train,-0.037000000000000005,0.0,-0.037000000000000005,0.0,-0.037000000000000005,0.7738228260898843,0.7687318425466114,-0.35663616330504744
2010-01-29,0.07989330589761226,0.5484032540520212,0.52,0.48,0.07404904935816635,,,1.0,1.0,4,0.0285,1,train,0.0285,0.0,0.0285,0.0,0.0285,0.7958767766334459,0.7906407000591898,-0.3383002939592412
2010-02-26,0.5966769194068446,0.7290759442189159,0.52,0.48,0.08362938974890752,,,1.0,0.9999999999999998,4,0.0588,1,train,0.0588,0.0,0.0588,0.0,0.0588,0.8426743310994925,0.8371303732226701,-0.29939235124404473
2010-03-31,-0.027388115725576923,0.604145365597211,0.52,0.48,0.04140246160222754,,,0.0,1.0,5,0.0148,1,train,0.0148,1.0,0.0,0.0005,-0.0005,0.8426743310994925,0.8367118080360588,-0.2997426550684227
2010-04-30,0.7891146894349407,0.7924787654770941,0.52,0.48,0.0934625149653607,,,1.0,1.0,4,-0.08199999999999999,0,train,-0.08199999999999999,1.0,-0.08199999999999999,0.0005,-0.08249999999999999,0.7735750359493342,0.7676830838730839,-0.3575138860252779
2010-05-31,-0.2826995663968367,0.6150970611472923,0.52,0.48,0.06892353210327518,,,1.0,1.0,5,-0.053899999999999997,0,train,-0.053899999999999997,0.0,-0.053899999999999997,0.0,-0.053899999999999997,0.7318793415116651,0.7263049656523247,-0.39214388756851537
2010-06-30,-0.022541016795354585,0.5957746796347384,0.52,0.48,0.0637493404890169,,,0.0,1.0,5,0.0688,1,train,0.0688,1.0,0.0,0.0005,-0.0005,0.7318793415116651,0.7259418131694986,-0.3924478156247311
2010-07-30,0.11994254267712232,0.6481116315487608,0.55,0.48,0.04168078086245785,,,1.0,1.0,6,-0.047400000000000005,0,train,-0.047400000000000005,1.0,-0.047400000000000005,0.0005,-0.047900000000000005,0.6971882607240122,0.6911692003186796,-0.4215495652563065
2010-08-31,0.24799068372246108,0.6533779607957294,0.52,0.48,0.03535115158780657,,,1.0,1.0,6,0.0876,1,train,0.0876,0.0,0.0876,0.0,0.0876,0.7582619523634356,0.7517156222665958,-0.370877307172759
2010-09-30,0.5885011399033433,0.6621453347808248,0.52,0.48,0.05094051346174725,,,1.0,1.0,6,0.0369,1,train,0.0369,0.0,0.0369,0.0,0.0369,0.7862418184056463,0.7794539287282332,-0.3476626798074338
2010-10-29,0.5478916266773425,0.6557406632291478,0.52,0.48,0.07010753086943902,,,1.0,1.0000000000000002,6,-0.0023,0,train,-0.0023,0.0,-0.0023,0.0,-0.0023,0.7844334622233133,0.7776611846921583,-0.34916305564387673
2010-11-30,0.1738748704544599,0.605080006292387,0.52,0.48,0.08380283760911458,,,1.0,1.0,5,0.0653,1,train,0.0653,0.0,0.0653,0.0,0.0653,0.8356569673064956,0.8284424600525562,-0.3066634031774219
2010-12-31,-0.21211632291401933,0.5671739565610313,0.52,0.48,0.0641661533017131,,,1.0,1.0,5,0.0226,1,train,0.0226,0.0,0.0226,0.0,0.0226,0.8545428147676224,0.8471652596497439,-0.2909939960892317
2011-01-31,-0.21166761034310233,0.5531711576666054,0.52,0.48,0.04662472150240806,,,1.0,1.0,6,0.032,1,train,0.032,0.0,0.032,0.0,0.032,0.8818881848401864,0.8742745479585357,-0.2683058039640871
2011-02-28,-0.2052860847794008,0.6164076947083915,0.52,0.48,0.09134054174025302,,,1.0,1.0,5,-0.001,0,train,-0.001,0.0,-0.001,0.0,-0.001,0.8810062966553462,0.8734002734105771,-0.269037498160123
2011-03-31,-0.2380105223660156,0.6004211881649592,0.52,0.48,0.10401175437330544,,,1.0,1.0,5,0.0285,1,train,0.0285,0.0,0.0285,0.0,0.0285,0.9061149761100236,0.8982921812027785,-0.2482050668576865
2011-04-29,0.16276788415211518,0.6730027907241146,0.52,0.48,0.09771310959304522,,,1.0,1.0,5,-0.013500000000000002,0,train,-0.013500000000000002,0.0,-0.013500000000000002,0.0,-0.013500000000000002,0.8938824239325383,0.886165236756541,-0.2583542984551078
2011-05-31,0.34137429702707084,0.6963809278373959,0.52,0.48,0.09022353689480306,,,1.0,1.0,5,-0.0183,0,train,-0.0183,0.0,-0.0183,0.0,-0.0183,0.8775243755745729,0.8699484129238964,-0.2719264147933793
