scenario,duration,buy_threshold,sell_threshold,tcost_bps,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,buy_count,hold_count,sell_count,periods
S019,10.0,0.0001,-0.0001,0.0,0.06405903511926492,0.0843040797798679,0.780346867586776,-0.25827953666627634,0.24802210793043106,0.1864525139664804,6.374959426337915,196,15,149,358
S007,6.0,0.5,-0.0001,50.0,0.04954026669945555,0.06496316123039697,0.7781484933320363,-0.17380756100445505,0.2850294107641596,0.09427374301675978,4.231295060191307,81,130,149,358
S018,8.5,0.5,-0.5,5.0,0.05819755688734096,0.07672301840838634,0.7771886770120424,-0.203919367121154,0.28539494658574643,0.08310055865921787,5.4064000259990035,94,187,79,358
S015,8.5,0.25,-0.5,25.0,0.05805399517746257,0.07659648019365398,0.7765803660339278,-0.2087628562899524,0.27808584443216716,0.09427374301675975,5.384561031130527,143,138,79,358
S022,10.0,0.25,-0.0001,5.0,0.06390012919982824,0.0848839733556454,0.773766722483195,-0.24804107983792156,0.2576191380943138,0.1361731843575419,6.346618188102131,140,71,149,358
S017,8.5,0.5,-0.25,50.0,0.05802609414576154,0.07704720704904702,0.7721362657514527,-0.24538227785808953,0.23647222876999874,0.09986033519553073,5.3803265576333255,94,157,109,358
S018,8.5,0.5,-0.5,10.0,0.05767400573568704,0.07670243875681346,0.7708967117551601,-0.205132086093884,0.28115545858238405,0.08310055865921787,5.3271667195469705,94,187,79,358
S006,6.0,0.25,-0.5,50.0,0.051126139398044,0.06795487605976895,0.7691478433827753,-0.14869201383156982,0.34383917522266455,0.09427374301675978,4.426250086439286,143,149,68,358
S019,10.0,0.0001,-0.0001,5.0,0.06287465913463097,0.08430737727244252,0.7670468657592149,-0.2612683634732782,0.24065163611384438,0.1864525139664804,6.166630245956832,196,15,149,358
S022,10.0,0.25,-0.0001,10.0,0.06303590812315707,0.08487750302122868,0.7641996104949081,-0.2502845685417918,0.25185695023235727,0.1361731843575419,6.194601684587568,140,71,149,358
S016,8.5,0.5,-0.0001,50.0,0.056654215850416634,0.07619131304841202,0.7627693279300423,-0.19359559517743485,0.2926420706963489,0.11103351955307263,5.176043158381418,94,118,148,358
S010,8.5,0.0001,-0.0001,25.0,0.0572927294625305,0.07710386044990845,0.762603708829003,-0.2363422319685594,0.24241426927944112,0.18924581005586588,5.270172517995472,197,15,148,358
S019,10.0,0.0001,-0.0001,10.0,0.06169101383492315,0.08431606835916156,0.7536996879729715,-0.26424664938885123,0.23345996620052484,0.1864525139664804,5.965010622407402,196,15,149,358
S024,10.0,0.25,-0.5,0.0,0.060559106546530295,0.08290270357733337,0.7521383884393638,-0.2103866282445842,0.2878467469716161,0.09427374301675975,5.778172584425594,140,140,80,358
S018,8.5,0.5,-0.5,25.0,0.056103357480683735,0.07665848664467054,0.7518260572049781,-0.20876285628995217,0.2687420476886051,0.08310055865921787,5.096143263212778,94,187,79,358
S027,10.0,0.5,-0.5,0.0,0.06055807466090268,0.08317165063926356,0.7499579621264088,-0.21038662824458432,0.28784184226053133,0.08310055865921787,5.77800486518617,94,186,80,358
S012,8.5,0.0001,-0.5,0.0,0.055913804624402985,0.07690128905828154,0.7473429765865188,-0.2027054159859505,0.2758377439124684,0.11662011173184357,5.068926029820767,197,84,79,358
S024,10.0,0.25,-0.5,5.0,0.05996351662050037,0.08288502546059484,0.7454743853242435,-0.2116267041014377,0.2833457000386796,0.09427374301675975,5.682145721491719,140,140,80,358
S027,10.0,0.5,-0.5,5.0,0.060032531510459064,0.0831619327173819,0.7440500268126092,-0.2116267041014377,0.28367181620748605,0.08310055865921787,5.693193469202995,94,186,80,358
S023,10.0,0.25,-0.25,0.0,0.061168286364727376,0.08489736167229278,0.7432169783801138,-0.24579200080157937,0.2488619896711233,0.1361731843575419,5.878012343398143,140,110,110,358
S015,8.5,0.25,-0.5,50.0,0.05508441510317508,0.07652552938197484,0.7403426123640816,-0.21632400006840802,0.2546384824881001,0.09427374301675975,4.95148011464824,143,138,79,358
S003,6.0,0.0001,-0.5,50.0,0.04987265792370432,0.0691559729641789,0.7396440982627008,-0.14869201383156982,0.33540912278044294,0.10544692737430168,4.271456542057792,196,96,68,358
S024,10.0,0.25,-0.5,10.0,0.05936796678890155,0.08287042434912364,0.7387801067820656,-0.21286548097717684,0.27889898595285584,0.09427374301675975,5.587668396724906,140,140,80,358
S012,8.5,0.0001,-0.5,5.0,0.05518019919680239,0.07687836386718022,0.7384641756404703,-0.20391936712115366,0.2705981289360242,0.11662011173184357,4.96490812026669,197,84,79,358
S027,10.0,0.5,-0.5,10.0,0.05950698890735873,0.08315495135577414,0.7381164189922783,-0.21286548097717728,0.27955208441587986,0.08310055865921787,5.609585913257524,94,186,80,358
S022,10.0,0.25,-0.0001,25.0,0.060444888330615454,0.08488299543828237,0.735273738961615,-0.25698160376470525,0.23521095457852056,0.1361731843575419,5.759636472614364,140,71,149,358
S011,8.5,0.0001,-0.25,50.0,0.05470275823336346,0.076641628305497,0.7346052819708804,-0.2453822778580893,0.22292872456339097,0.14455307262569828,4.898323224555812,197,54,109,358
S023,10.0,0.25,-0.25,5.0,0.06030690869040223,0.08488135797326735,0.7337314458139851,-0.24804107983792134,0.24313274530899823,0.1361731843575419,5.737320834039496,140,110,110,358
S012,8.5,0.0001,-0.5,10.0,0.05444674088121615,0.07685944380684209,0.729542059506586,-0.20513208609388434,0.2654228400733813,0.11662011173184357,4.862974846081636,197,84,79,358
S023,10.0,0.25,-0.25,10.0,0.05944580364559071,0.08486950247209095,0.7242069366725292,-0.25028456854179226,0.23751285982964832,0.1361731843575419,5.599929539782869,140,110,110,358
S027,10.0,0.5,-0.5,25.0,0.0579303643777187,0.08315043217455083,0.7201673315976203,-0.2165740245244555,0.26748528363417473,0.08310055865921787,5.365822328551678,94,186,80,358
S018,8.5,0.5,-0.5,50.0,0.0534856277190352,0.07664460396010794,0.7194352655835542,-0.21632400006840746,0.24724777510642187,0.08310055865921787,4.732460704572425,94,187,79,358
S024,10.0,0.25,-0.5,25.0,0.057581558024890844,0.08284509760132865,0.7185228251148117,-0.21657402452445562,0.26587471951599956,0.09427374301675975,5.313292925627203,140,140,80,358
S025,10.0,0.5,-0.0001,0.0,0.05947193422865471,0.08586029288326606,0.7171142515029159,-0.24951614812183998,0.23834903943617416,0.11941340782122903,5.604051550647078,94,117,149,358
S020,10.0,0.0001,-0.25,0.0,0.05822527348267692,0.0842608917278829,0.7151334656432677,-0.2582795366662761,0.2254351011861617,0.16969273743016758,5.4106261971831975,196,54,110,358
S019,10.0,0.0001,-0.0001,25.0,0.0581444611577564,0.08437448134525424,0.7134011160993855,-0.2731185801100863,0.2128909030440918,0.1864525139664804,5.398313003070588,196,15,149,358
S021,10.0,0.0001,-0.5,0.0,0.05712924211337067,0.08297663679925346,0.7123627152243724,-0.22346037621532944,0.25565714638518355,0.1222067039106145,5.245914925896043,196,84,80,358
S025,10.0,0.5,-0.0001,5.0,0.05871792295173872,0.08584357471985914,0.7089075614158784,-0.25214002209250574,0.23287823354832637,0.11941340782122903,5.486279311336208,94,117,149,358
S021,10.0,0.0001,-0.5,5.0,0.05635702448740676,0.08298243111122725,0.7034768840261297,-0.22549453240400452,0.24992634582569562,0.1222067039106145,5.13278749106795,196,84,80,358
S020,10.0,0.0001,-0.25,5.0,0.05715218868861438,0.08426880023874986,0.702984104759231,-0.2612683634732784,0.21874898257423234,0.16969273743016758,5.249313124259065,196,54,110,358
S012,8.5,0.0001,-0.5,25.0,0.052247249034405696,0.07682674086869082,0.7025292795961455,-0.20876285628995217,0.25027080948652636,0.11662011173184357,4.569278933956481,197,84,79,358
S025,10.0,0.5,-0.0001,10.0,0.05796407524720948,0.0858305207165492,0.7006677609419913,-0.25475603064676566,0.22752778452408887,0.11941340782122903,5.370925621072931,94,117,149,358
S023,10.0,0.25,-0.25,25.0,0.056864124768885915,0.08485883950013454,0.6954132937878006,-0.25698160376470536,0.22127702503153188,0.1361731843575419,5.206807099527942,140,110,110,358
S021,10.0,0.0001,-0.5,10.0,0.0555849875535519,0.08299209466407348,0.6945599105179415,-0.2275244239987071,0.24430338763924422,0.1222067039106145,5.022045215466617,196,84,80,358
S001,6.0,0.0001,-0.0001,50.0,0.04484421662048921,0.06678404333541345,0.6913496606732246,-0.1606741755168044,0.2791003375386799,0.21717877094972063,3.7014427612088947,196,15,149,358
S020,10.0,0.0001,-0.25,10.0,0.056079659023503536,0.08428171872957149,0.6907959584592949,-0.26424664938885134,0.21222467400515527,0.16969273743016758,5.092732774865106,196,54,110,358
S027,10.0,0.5,-0.5,50.0,0.05530266773393855,0.08319764259324648,0.6897936805870168,-0.22424794419561256,0.24661393410901358,0.08310055865921787,4.982128302967386,94,186,80,358
S026,10.0,0.5,-0.25,0.0,0.056988515500038917,0.08590064235449246,0.6893716537382563,-0.2495161481218401,0.22839610153091622,0.11941340782122903,5.225120931658283,94,156,110,358
S022,10.0,0.25,-0.0001,50.0,0.05613200303646759,0.08497510827937614,0.6864015013393938,-0.2680325569927785,0.20942233162361665,0.1361731843575419,5.10026864429312,140,71,149,358
S010,8.5,0.0001,-0.0001,50.0,0.05130752736832389,0.0774016220808724,0.6863204441239452,-0.2515922915488591,0.20393123752903214,0.18924581005586588,4.449094089245025,197,15,148,358
S024,10.0,0.25,-0.5,50.0,0.054605013508183475,0.08286451085005667,0.6842239301636742,-0.22424794419561267,0.24350284995500887,0.09427374301675975,4.884798378420362,140,140,80,358
S026,10.0,0.5,-0.25,5.0,0.05623693334645985,0.08587441480073522,0.6812388482170679,-0.2521400220925061,0.2230385040809881,0.11941340782122903,5.115407734373023,94,156,110,358
S025,10.0,0.5,-0.0001,25.0,0.055703514016469224,0.08581335804221096,0.6757600302932221,-0.26255706015120683,0.21215774576539487,0.11941340782122903,5.038895518188066,94,117,149,358
S026,10.0,0.5,-0.25,10.0,0.05548551394898116,0.08585184573979292,0.6730723898281513,-0.2547560306467661,0.21779862799760377,0.11941340782122903,5.007945603892336,94,156,110,358
S021,10.0,0.0001,-0.5,25.0,0.053269961371758656,0.08304428455621223,0.6676348826348802,-0.2335885782672169,0.22805036858788422,0.1222067039106145,4.703642868995278,196,84,80,358
S012,8.5,0.0001,-0.5,50.0,0.04858437552841344,0.07685249149844581,0.6567702696439782,-0.21632400006840802,0.22459077824489945,0.11662011173184357,4.117821995657914,197,84,79,358
S020,10.0,0.0001,-0.25,25.0,0.052865400681021635,0.0843505065995406,0.6540209848241562,-0.27311858011008616,0.19356208083577883,0.16969273743016758,4.650041344981754,196,54,110,358
S026,10.0,0.5,-0.25,25.0,0.053232232738765095,0.08580611604219993,0.6483811202350245,-0.2625570601512066,0.20274538688126936,0.11941340782122903,4.69861894299807,94,156,110,358
S023,10.0,0.25,-0.25,50.0,0.05256678372221146,0.08492407440657464,0.6467750156464502,-0.2680325569927785,0.1961208903574641,0.1361731843575419,4.61085583845491,140,110,110,358
S019,10.0,0.0001,-0.0001,50.0,0.0522481454384458,0.08457935023433052,0.6455390540568974,-0.2876972724883037,0.1816080666547506,0.1864525139664804,4.569395062984521,196,15,149,358
S025,10.0,0.5,-0.0001,50.0,0.05193918760437399,0.0858581004950307,0.6336831921721781,-0.27540329429069355,0.18859319652709444,0.11941340782122903,4.529538092002755,94,117,149,358
S021,10.0,0.0001,-0.5,50.0,0.04941520260930754,0.08320842063791739,0.6222574549416643,-0.2450889578475156,0.20162149712208444,0.1222067039106145,4.216278767570255,196,84,80,358
S026,10.0,0.5,-0.25,50.0,0.049480023341311075,0.08580324714854425,0.6066514396326592,-0.2754032942906939,0.179663876093958,0.11941340782122903,4.224055272723266,94,156,110,358
S020,10.0,0.0001,-0.25,50.0,0.047519404893752615,0.08456496341995941,0.5921627261287716,-0.2876972724883037,0.16517155162006103,0.16969273743016758,3.9948636364880263,196,54,110,358
